,formula,composition,compositions,number_element
10004,CsBe,Cs1 Be1,Cs Be,5
10005,CsBe3,Cs1 Be3,Cs Be,5
10006,CsBi,Cs1 Bi1,Cs Bi,5
10007,CsBi2,Cs1 Bi2,Cs Bi,5
10008,CsBi3,Cs1 Bi3,Cs Bi,5
10009,CsBr,Cs1 Br1,Cs Br,5
10010,CsBr2,Cs1 Br2,Cs Br,5
10011,CsBr3,Cs1 Br3,Cs Br,5
10012,CsC,Cs1 C1,Cs C,4
10013,CsC10,Cs1 C10,Cs C,4
10014,CsC15,Cs1 C15,Cs C,4
10015,CsC2,Cs1 C2,Cs C,4
10016,CsC3,Cs1 C3,Cs C,4
10017,CsC4,Cs1 C4,Cs C,4
10018,CsC5,Cs1 C5,Cs C,4
10019,CsC8,Cs1 C8,Cs C,4
10020,CsCa,Cs1 Ca1,Cs Ca,5
10021,CsCa3,Cs1 Ca3,Cs Ca,5
10022,CsCd,Cs1 Cd1,Cs Cd,5
10023,CsCd13,Cs1 Cd13,Cs Cd,5
10024,CsCd3,Cs1 Cd3,Cs Cd,5
10025,CsCe,Cs1 Ce1,Cs Ce,5
10026,CsCe3,Cs1 Ce3,Cs Ce,5
10027,CsCl,Cs1 Cl1,Cs Cl,5
10028,CsCl2,Cs1 Cl2,Cs Cl,5
10029,CsCl3,Cs1 Cl3,Cs Cl,5
10030,CsCo,Cs1 Co1,Cs Co,5
10031,CsCo2,Cs1 Co2,Cs Co,5
10032,CsCo3,Cs1 Co3,Cs Co,5
10033,CsCr,Cs1 Cr1,Cs Cr,5
10034,CsCr3,Cs1 Cr3,Cs Cr,5
10035,CsCu,Cs1 Cu1,Cs Cu,5
10036,CsCu3,Cs1 Cu3,Cs Cu,5
10037,CsDy,Cs1 Dy1,Cs Dy,5
10038,CsDy3,Cs1 Dy3,Cs Dy,5
10039,CsEr,Cs1 Er1,Cs Er,5
10040,CsEr3,Cs1 Er3,Cs Er,5
10041,CsEu,Cs1 Eu1,Cs Eu,5
10042,CsEu3,Cs1 Eu3,Cs Eu,5
10043,CsF,Cs1 F1,Cs F,4
10044,CsF2,Cs1 F2,Cs F,4
10045,CsF3,Cs1 F3,Cs F,4
10046,CsFe,Cs1 Fe1,Cs Fe,5
10047,CsFe3,Cs1 Fe3,Cs Fe,5
10048,CsGa,Cs1 Ga1,Cs Ga,5
10049,CsGa3,Cs1 Ga3,Cs Ga,5
10050,CsGa7,Cs1 Ga7,Cs Ga,5
10051,CsGd,Cs1 Gd1,Cs Gd,5
10052,CsGd3,Cs1 Gd3,Cs Gd,5
10053,CsGe,Cs1 Ge1,Cs Ge,5
10054,CsGe3,Cs1 Ge3,Cs Ge,5
10055,CsH,Cs1 H1,Cs H,4
10056,CsH3,Cs1 H3,Cs H,4
10057,CsHf,Cs1 Hf1,Cs Hf,5
10058,CsHf3,Cs1 Hf3,Cs Hf,5
10059,CsHg,Cs1 Hg1,Cs Hg,5
10060,CsHg2,Cs1 Hg2,Cs Hg,5
10061,CsHg3,Cs1 Hg3,Cs Hg,5
10062,CsHo,Cs1 Ho1,Cs Ho,5
10063,CsHo3,Cs1 Ho3,Cs Ho,5
10064,CsI,Cs1 I1,Cs I,4
10065,CsI3,Cs1 I3,Cs I,4
10066,CsI4,Cs1 I4,Cs I,4
10067,CsIn,Cs1 In1,Cs In,5
10068,CsIn3,Cs1 In3,Cs In,5
10069,CsIr,Cs1 Ir1,Cs Ir,5
10070,CsIr3,Cs1 Ir3,Cs Ir,5
10071,CsK,Cs1 K1,Cs K,4
10072,CsK2,Cs1 K2,Cs K,4
10073,CsK3,Cs1 K3,Cs K,4
10074,CsLa,Cs1 La1,Cs La,5
10075,CsLa3,Cs1 La3,Cs La,5
10076,CsLi,Cs1 Li1,Cs Li,5
10077,CsLi3,Cs1 Li3,Cs Li,5
10078,CsLu,Cs1 Lu1,Cs Lu,5
10079,CsLu3,Cs1 Lu3,Cs Lu,5
10080,CsMg,Cs1 Mg1,Cs Mg,5
10081,CsMg149,Cs1 Mg149,Cs Mg,5
10082,CsMg15,Cs1 Mg15,Cs Mg,5
10083,CsMg3,Cs1 Mg3,Cs Mg,5
10084,CsMn,Cs1 Mn1,Cs Mn,5
10085,CsMn3,Cs1 Mn3,Cs Mn,5
10086,CsMo,Cs1 Mo1,Cs Mo,5
10087,CsMo3,Cs1 Mo3,Cs Mo,5
10088,CsN,Cs1 N1,Cs N,4
10089,CsN2,Cs1 N2,Cs N,4
10090,CsN3,Cs1 N3,Cs N,4
10091,CsN5,Cs1 N5,Cs N,4
10092,CsNa,Cs1 Na1,Cs Na,5
10093,CsNa2,Cs1 Na2,Cs Na,5
10094,CsNa3,Cs1 Na3,Cs Na,5
10095,CsNb,Cs1 Nb1,Cs Nb,5
10096,CsNd,Cs1 Nd1,Cs Nd,5
10097,CsNd3,Cs1 Nd3,Cs Nd,5
10098,CsNi,Cs1 Ni1,Cs Ni,5
10099,CsNi3,Cs1 Ni3,Cs Ni,5
10100,CsNp,Cs1 Np1,Cs Np,5
10101,CsNp3,Cs1 Np3,Cs Np,5
10102,CsO2,Cs1 O2,Cs O,4
10103,CsO3,Cs1 O3,Cs O,4
10104,CsOs,Cs1 Os1,Cs Os,5
10105,CsOs3,Cs1 Os3,Cs Os,5
10106,CsP,Cs1 P1,Cs P,4
10107,CsP3,Cs1 P3,Cs P,4
10108,CsP7,Cs1 P7,Cs P,4
10109,CsPb,Cs1 Pb1,Cs Pb,5
10110,CsPb3,Cs1 Pb3,Cs Pb,5
10111,CsPd,Cs1 Pd1,Cs Pd,5
10112,CsPd3,Cs1 Pd3,Cs Pd,5
10113,CsPm,Cs1 Pm1,Cs Pm,5
10114,CsPm3,Cs1 Pm3,Cs Pm,5
10115,CsPr,Cs1 Pr1,Cs Pr,5
10116,CsPr3,Cs1 Pr3,Cs Pr,5
10117,CsPt,Cs1 Pt1,Cs Pt,5
10118,CsPt3,Cs1 Pt3,Cs Pt,5
10119,CsRb,Cs1 Rb1,Cs Rb,5
10120,CsRb3,Cs1 Rb3,Cs Rb,5
10121,CsRe,Cs1 Re1,Cs Re,5
10122,CsRe3,Cs1 Re3,Cs Re,5
10123,CsRh,Cs1 Rh1,Cs Rh,5
10124,CsRh3,Cs1 Rh3,Cs Rh,5
10125,CsRu,Cs1 Ru1,Cs Ru,5
10126,CsRu3,Cs1 Ru3,Cs Ru,5
10127,CsS,Cs1 S1,Cs S,4
10128,CsS3,Cs1 S3,Cs S,4
10129,CsSb,Cs1 Sb1,Cs Sb,5
10130,CsSb3,Cs1 Sb3,Cs Sb,5
10131,CsSc,Cs1 Sc1,Cs Sc,5
10132,CsSc3,Cs1 Sc3,Cs Sc,5
10133,CsSe,Cs1 Se1,Cs Se,5
10134,CsSe3,Cs1 Se3,Cs Se,5
10135,CsSe4,Cs1 Se4,Cs Se,5
10136,CsSi,Cs1 Si1,Cs Si,5
10137,CsSi3,Cs1 Si3,Cs Si,5
10138,CsSm,Cs1 Sm1,Cs Sm,5
10139,CsSm3,Cs1 Sm3,Cs Sm,5
10140,CsSn,Cs1 Sn1,Cs Sn,5
10141,CsSn3,Cs1 Sn3,Cs Sn,5
10142,CsSr,Cs1 Sr1,Cs Sr,5
10143,CsSr3,Cs1 Sr3,Cs Sr,5
10144,CsTa,Cs1 Ta1,Cs Ta,5
10145,CsTa3,Cs1 Ta3,Cs Ta,5
10146,CsTb,Cs1 Tb1,Cs Tb,5
10147,CsTb3,Cs1 Tb3,Cs Tb,5
10148,CsTe,Cs1 Te1,Cs Te,5
10149,CsTe3,Cs1 Te3,Cs Te,5
10150,CsTe4,Cs1 Te4,Cs Te,5
10151,CsTe7,Cs1 Te7,Cs Te,5
10152,CsTi,Cs1 Ti1,Cs Ti,5
10153,CsTi3,Cs1 Ti3,Cs Ti,5
10154,CsTl,Cs1 Tl1,Cs Tl,5
10155,CsTl3,Cs1 Tl3,Cs Tl,5
10156,CsTm,Cs1 Tm1,Cs Tm,5
10157,CsTm3,Cs1 Tm3,Cs Tm,5
10158,CsV,Cs1 V1,Cs V,4
10159,CsV3,Cs1 V3,Cs V,4
10160,CsW,Cs1 W1,Cs W,4
10161,CsW3,Cs1 W3,Cs W,4
10162,CsY,Cs1 Y1,Cs Y,4
10163,CsY3,Cs1 Y3,Cs Y,4
10164,CsYb,Cs1 Yb1,Cs Yb,5
10165,CsYb3,Cs1 Yb3,Cs Yb,5
10166,CsZn,Cs1 Zn1,Cs Zn,5
10167,CsZn3,Cs1 Zn3,Cs Zn,5
10168,CsZr,Cs1 Zr1,Cs Zr,5
10169,Cu10N3,Cu10 N3,Cu N,4
10170,Cu10Pd,Cu10 Pd1,Cu Pd,5
10171,Cu10Sb3,Cu10 Sb3,Cu Sb,5
10172,Cu10Sn3,Cu10 Sn3,Cu Sn,5
10173,Cu11S16,Cu11 S16,Cu S,4
10174,Cu11Sb3,Cu11 Sb3,Cu Sb,5
10175,Cu12Au17,Cu12 Au17,Cu Au,5
10176,Cu12C,Cu12 C1,Cu C,4
10177,Cu12C17,Cu12 C17,Cu C,4
10178,Cu12Cl17,Cu12 Cl17,Cu Cl,5
10179,Cu12Ge17,Cu12 Ge17,Cu Ge,5
10180,Cu12H,Cu12 H1,Cu H,4
10181,Cu12Hg17,Cu12 Hg17,Cu Hg,5
10182,Cu12N,Cu12 N1,Cu N,4
10183,Cu12Ni17,Cu12 Ni17,Cu Ni,5
10184,Cu12O,Cu12 O1,Cu O,4
10185,Cu12P17,Cu12 P17,Cu P,4
10186,Cu12Pb17,Cu12 Pb17,Cu Pb,5
10187,Cu12Rh17,Cu12 Rh17,Cu Rh,5
10188,Cu12S,Cu12 S1,Cu S,4
10189,Cu12S17,Cu12 S17,Cu S,4
10190,Cu12Sb17,Cu12 Sb17,Cu Sb,5
10191,Cu12Se17,Cu12 Se17,Cu Se,5
10192,Cu12Si17,Cu12 Si17,Cu Si,5
10193,Cu12Sn17,Cu12 Sn17,Cu Sn,5
10194,Cu12Te17,Cu12 Te17,Cu Te,5
10195,Cu13Au,Cu13 Au1,Cu Au,5
10196,Cu13I15,Cu13 I15,Cu I,4
10197,Cu13Ni,Cu13 Ni1,Cu Ni,5
10198,Cu13Pd,Cu13 Pd1,Cu Pd,5
10199,Cu13Pt,Cu13 Pt1,Cu Pt,5
10200,Cu13Rh,Cu13 Rh1,Cu Rh,5
10201,Cu13Se8,Cu13 Se8,Cu Se,5
10202,Cu14C9,Cu14 C9,Cu C,4
10203,Cu14I19,Cu14 I19,Cu I,4
10204,Cu15Si4,Cu15 Si4,Cu Si,5
10205,Cu16I19,Cu16 I19,Cu I,4
10206,Cu17As12,Cu17 As12,Cu As,5
10207,Cu17Au12,Cu17 Au12,Cu Au,5
10208,Cu17B12,Cu17 B12,Cu B,4
10209,Cu17Br12,Cu17 Br12,Cu Br,5
10210,Cu17C12,Cu17 C12,Cu C,4
10211,Cu17Cl12,Cu17 Cl12,Cu Cl,5
10212,Cu17Ge12,Cu17 Ge12,Cu Ge,5
10213,Cu17Hg12,Cu17 Hg12,Cu Hg,5
10214,Cu17Ni12,Cu17 Ni12,Cu Ni,5
10215,Cu17P12,Cu17 P12,Cu P,4
10216,Cu17Pb12,Cu17 Pb12,Cu Pb,5
10217,Cu17Pt12,Cu17 Pt12,Cu Pt,5
10218,Cu17Rh12,Cu17 Rh12,Cu Rh,5
10219,Cu17S12,Cu17 S12,Cu S,4
10220,Cu17Se10,Cu17 Se10,Cu Se,5
10221,Cu17Se12,Cu17 Se12,Cu Se,5
10222,Cu17Si12,Cu17 Si12,Cu Si,5
10223,Cu17Sn12,Cu17 Sn12,Cu Sn,5
10224,Cu17Te12,Cu17 Te12,Cu Te,5
10225,Cu189Pd86,Cu189 Pd86,Cu Pd,5
10226,Cu18Pd7,Cu18 Pd7,Cu Pd,5
10227,Cu18S11,Cu18 S11,Cu S,4
10228,Cu191Pd84,Cu191 Pd84,Cu Pd,5
10229,Cu192Pd83,Cu192 Pd83,Cu Pd,5
10230,Cu193Pd82,Cu193 Pd82,Cu Pd,5
10231,Cu194Pd81,Cu194 Pd81,Cu Pd,5
10232,Cu196Pd79,Cu196 Pd79,Cu Pd,5
10233,Cu197Pd78,Cu197 Pd78,Cu Pd,5
10234,Cu199Pd76,Cu199 Pd76,Cu Pd,5
10235,Cu19Pd6,Cu19 Pd6,Cu Pd,5
10236,Cu19Se11,Cu19 Se11,Cu Se,5
10237,Cu19Sn16,Cu19 Sn16,Cu Sn,5
10238,Cu201Pd74,Cu201 Pd74,Cu Pd,5
10239,Cu202Pd73,Cu202 Pd73,Cu Pd,5
10240,Cu203Pd72,Cu203 Pd72,Cu Pd,5
10241,Cu204Pd71,Cu204 Pd71,Cu Pd,5
10242,Cu206Pd69,Cu206 Pd69,Cu Pd,5
10243,Cu207Pd68,Cu207 Pd68,Cu Pd,5
10244,Cu208Pd67,Cu208 Pd67,Cu Pd,5
10245,Cu211Pd64,Cu211 Pd64,Cu Pd,5
10246,Cu212Pd63,Cu212 Pd63,Cu Pd,5
10247,Cu213Pd62,Cu213 Pd62,Cu Pd,5
10248,Cu214Pd61,Cu214 Pd61,Cu Pd,5
10249,Cu216Pd59,Cu216 Pd59,Cu Pd,5
10250,Cu217Pd58,Cu217 Pd58,Cu Pd,5
10251,Cu218Pd57,Cu218 Pd57,Cu Pd,5
10252,Cu219Pd56,Cu219 Pd56,Cu Pd,5
10253,Cu21Pd4,Cu21 Pd4,Cu Pd,5
10254,Cu221Pd54,Cu221 Pd54,Cu Pd,5
10255,Cu222Pd53,Cu222 Pd53,Cu Pd,5
10256,Cu223Pd52,Cu223 Pd52,Cu Pd,5
10257,Cu224Pd51,Cu224 Pd51,Cu Pd,5
10258,Cu226Pd49,Cu226 Pd49,Cu Pd,5
10259,Cu227Pd48,Cu227 Pd48,Cu Pd,5
10260,Cu228Pd47,Cu228 Pd47,Cu Pd,5
10261,Cu229Pd46,Cu229 Pd46,Cu Pd,5
10262,Cu22Au,Cu22 Au1,Cu Au,5
10263,Cu22Ni,Cu22 Ni1,Cu Ni,5
10264,Cu22Pd,Cu22 Pd1,Cu Pd,5
10265,Cu22Pd3,Cu22 Pd3,Cu Pd,5
10266,Cu22Pt,Cu22 Pt1,Cu Pt,5
10267,Cu22Rh,Cu22 Rh1,Cu Rh,5
10268,Cu232Pd43,Cu232 Pd43,Cu Pd,5
10269,Cu233Pd42,Cu233 Pd42,Cu Pd,5
10270,Cu234Pd41,Cu234 Pd41,Cu Pd,5
10271,Cu236Pd39,Cu236 Pd39,Cu Pd,5
10272,Cu237Pd38,Cu237 Pd38,Cu Pd,5
10273,Cu238Pd37,Cu238 Pd37,Cu Pd,5
10274,Cu239Pd36,Cu239 Pd36,Cu Pd,5
10275,Cu23Pd2,Cu23 Pd2,Cu Pd,5
10276,Cu241Pd34,Cu241 Pd34,Cu Pd,5
10277,Cu243Pd32,Cu243 Pd32,Cu Pd,5
10278,Cu244Pd31,Cu244 Pd31,Cu Pd,5
10279,Cu246Pd29,Cu246 Pd29,Cu Pd,5
10280,Cu247Pd28,Cu247 Pd28,Cu Pd,5
10281,Cu248Pd27,Cu248 Pd27,Cu Pd,5
10282,Cu249Pd26,Cu249 Pd26,Cu Pd,5
10283,Cu24As5,Cu24 As5,Cu As,5
10284,Cu24Au5,Cu24 Au5,Cu Au,5
10285,Cu24B5,Cu24 B5,Cu B,4
10286,Cu24C5,Cu24 C5,Cu C,4
10287,Cu24Cl5,Cu24 Cl5,Cu Cl,5
10288,Cu24Ge5,Cu24 Ge5,Cu Ge,5
10289,Cu24Hg5,Cu24 Hg5,Cu Hg,5
10290,Cu24Ni5,Cu24 Ni5,Cu Ni,5
10291,Cu24Pd,Cu24 Pd1,Cu Pd,5
10292,Cu24Pt5,Cu24 Pt5,Cu Pt,5
10293,Cu24Rh5,Cu24 Rh5,Cu Rh,5
10294,Cu24S5,Cu24 S5,Cu S,4
10295,Cu24Sb5,Cu24 Sb5,Cu Sb,5
10296,Cu24Se5,Cu24 Se5,Cu Se,5
10297,Cu24Si5,Cu24 Si5,Cu Si,5
10298,Cu24Sn5,Cu24 Sn5,Cu Sn,5
10299,Cu24Te5,Cu24 Te5,Cu Te,5
10300,Cu251Pd24,Cu251 Pd24,Cu Pd,5
10301,Cu252Pd23,Cu252 Pd23,Cu Pd,5
10302,Cu254Pd21,Cu254 Pd21,Cu Pd,5
10303,Cu256Pd19,Cu256 Pd19,Cu Pd,5
10304,Cu257Pd18,Cu257 Pd18,Cu Pd,5
10305,Cu258Pd17,Cu258 Pd17,Cu Pd,5
10306,Cu259Pd16,Cu259 Pd16,Cu Pd,5
10307,Cu261Pd14,Cu261 Pd14,Cu Pd,5
10308,Cu262Pd13,Cu262 Pd13,Cu Pd,5
10309,Cu263Pd12,Cu263 Pd12,Cu Pd,5
10310,Cu266Pd9,Cu266 Pd9,Cu Pd,5
10311,Cu267Pd8,Cu267 Pd8,Cu Pd,5
10312,Cu268Pd7,Cu268 Pd7,Cu Pd,5
10313,Cu269Pd6,Cu269 Pd6,Cu Pd,5
10314,Cu271Pd4,Cu271 Pd4,Cu Pd,5
10315,Cu272Pd3,Cu272 Pd3,Cu Pd,5
10316,Cu273Pd2,Cu273 Pd2,Cu Pd,5
10317,Cu274Pd,Cu274 Pd1,Cu Pd,5
10318,Cu28C9,Cu28 C9,Cu C,4
10319,Cu29Se19,Cu29 Se19,Cu Se,5
10320,Cu2Ag,Cu2 Ag1,Cu Ag,5
10321,Cu2Ag3,Cu2 Ag3,Cu Ag,5
10322,Cu2Ag5,Cu2 Ag5,Cu Ag,5
10323,Cu2As,Cu2 As1,Cu As,5
10324,Cu2As3,Cu2 As3,Cu As,5
10325,Cu2Au,Cu2 Au1,Cu Au,5
10326,Cu2Au3,Cu2 Au3,Cu Au,5
10327,Cu2B,Cu2 B1,Cu B,4
10328,Cu2B3,Cu2 B3,Cu B,4
10329,Cu2Bi,Cu2 Bi1,Cu Bi,5
10330,Cu2Bi3,Cu2 Bi3,Cu Bi,5
10331,Cu2Br,Cu2 Br1,Cu Br,5
10332,Cu2Br3,Cu2 Br3,Cu Br,5
10333,Cu2C,Cu2 C1,Cu C,4
10334,Cu2C3,Cu2 C3,Cu C,4
10335,Cu2Cl,Cu2 Cl1,Cu Cl,5
10336,Cu2Cl3,Cu2 Cl3,Cu Cl,5
10337,Cu2F,Cu2 F1,Cu F,4
10338,Cu2F3,Cu2 F3,Cu F,4
10339,Cu2Ge,Cu2 Ge1,Cu Ge,5
10340,Cu2Ge3,Cu2 Ge3,Cu Ge,5
10341,Cu2Hg,Cu2 Hg1,Cu Hg,5
10342,Cu2Hg3,Cu2 Hg3,Cu Hg,5
10343,Cu2I,Cu2 I1,Cu I,4
10344,Cu2I3,Cu2 I3,Cu I,4
10345,Cu2Ir,Cu2 Ir1,Cu Ir,5
10346,Cu2Ir3,Cu2 Ir3,Cu Ir,5
10347,Cu2Mo,Cu2 Mo1,Cu Mo,5
10348,Cu2Mo3,Cu2 Mo3,Cu Mo,5
10349,Cu2N,Cu2 N1,Cu N,4
10350,Cu2N3,Cu2 N3,Cu N,4
10351,Cu2Ni,Cu2 Ni1,Cu Ni,5
10352,Cu2Ni3,Cu2 Ni3,Cu Ni,5
10353,Cu2Ni5,Cu2 Ni5,Cu Ni,5
10354,Cu2O,Cu2 O1,Cu O,4
10355,Cu2O3,Cu2 O3,Cu O,4
10356,Cu2Os,Cu2 Os1,Cu Os,5
10357,Cu2Os3,Cu2 Os3,Cu Os,5
10358,Cu2P,Cu2 P1,Cu P,4
10359,Cu2P3,Cu2 P3,Cu P,4
10360,Cu2P7,Cu2 P7,Cu P,4
10361,Cu2Pb,Cu2 Pb1,Cu Pb,5
10362,Cu2Pb3,Cu2 Pb3,Cu Pb,5
10363,Cu2Pd,Cu2 Pd1,Cu Pd,5
10364,Cu2Pd3,Cu2 Pd3,Cu Pd,5
10365,Cu2Pt,Cu2 Pt1,Cu Pt,5
10366,Cu2Pt3,Cu2 Pt3,Cu Pt,5
10367,Cu2Pt7,Cu2 Pt7,Cu Pt,5
10368,Cu2Re,Cu2 Re1,Cu Re,5
10369,Cu2Re3,Cu2 Re3,Cu Re,5
10370,Cu2Rh,Cu2 Rh1,Cu Rh,5
10371,Cu2Rh3,Cu2 Rh3,Cu Rh,5
10372,Cu2Ru,Cu2 Ru1,Cu Ru,5
10373,Cu2Ru3,Cu2 Ru3,Cu Ru,5
10374,Cu2S,Cu2 S1,Cu S,4
10375,Cu2S3,Cu2 S3,Cu S,4
10376,Cu2Sb,Cu2 Sb1,Cu Sb,5
10377,Cu2Se,Cu2 Se1,Cu Se,5
10378,Cu2Se3,Cu2 Se3,Cu Se,5
10379,Cu2Si,Cu2 Si1,Cu Si,5
10380,Cu2Si3,Cu2 Si3,Cu Si,5
10381,Cu2Sn,Cu2 Sn1,Cu Sn,5
10382,Cu2Sn3,Cu2 Sn3,Cu Sn,5
10383,Cu2Te,Cu2 Te1,Cu Te,5
10384,Cu2Te3,Cu2 Te3,Cu Te,5
10385,Cu2W,Cu2 W1,Cu W,4
10386,Cu2W3,Cu2 W3,Cu W,4
10387,Cu36C,Cu36 C1,Cu C,4
10388,Cu36H,Cu36 H1,Cu H,4
10389,Cu36O,Cu36 O1,Cu O,4
10390,Cu38Pd17,Cu38 Pd17,Cu Pd,5
10391,Cu39Pd16,Cu39 Pd16,Cu Pd,5
10392,Cu39S20,Cu39 S20,Cu S,4
10393,Cu3Ag,Cu3 Ag1,Cu Ag,5
10394,Cu3Ag2,Cu3 Ag2,Cu Ag,5
10395,Cu3Ag4,Cu3 Ag4,Cu Ag,5
10396,Cu3Ag5,Cu3 Ag5,Cu Ag,5
10397,Cu3As,Cu3 As1,Cu As,5
10398,Cu3As2,Cu3 As2,Cu As,5
10399,Cu3As4,Cu3 As4,Cu As,5
10400,Cu3As5,Cu3 As5,Cu As,5
10401,Cu3Au,Cu3 Au1,Cu Au,5
10402,Cu3Au2,Cu3 Au2,Cu Au,5
10403,Cu3Au4,Cu3 Au4,Cu Au,5
10404,Cu3Au5,Cu3 Au5,Cu Au,5
10405,Cu3B,Cu3 B1,Cu B,4
10406,Cu3B2,Cu3 B2,Cu B,4
10407,Cu3B4,Cu3 B4,Cu B,4
10408,Cu3B5,Cu3 B5,Cu B,4
10409,Cu3Bi,Cu3 Bi1,Cu Bi,5
10410,Cu3Bi2,Cu3 Bi2,Cu Bi,5
10411,Cu3Bi4,Cu3 Bi4,Cu Bi,5
10412,Cu3Bi5,Cu3 Bi5,Cu Bi,5
10413,Cu3Br,Cu3 Br1,Cu Br,5
10414,Cu3Br2,Cu3 Br2,Cu Br,5
10415,Cu3Br4,Cu3 Br4,Cu Br,5
10416,Cu3Br5,Cu3 Br5,Cu Br,5
10417,Cu3C,Cu3 C1,Cu C,4
10418,Cu3C2,Cu3 C2,Cu C,4
10419,Cu3C4,Cu3 C4,Cu C,4
10420,Cu3C5,Cu3 C5,Cu C,4
10421,Cu3Cl,Cu3 Cl1,Cu Cl,5
10422,Cu3Cl2,Cu3 Cl2,Cu Cl,5
10423,Cu3Cl4,Cu3 Cl4,Cu Cl,5
10424,Cu3F,Cu3 F1,Cu F,4
10425,Cu3Ge,Cu3 Ge1,Cu Ge,5
10426,Cu3Ge2,Cu3 Ge2,Cu Ge,5
10427,Cu3Ge4,Cu3 Ge4,Cu Ge,5
10428,Cu3Ge5,Cu3 Ge5,Cu Ge,5
10429,Cu3H,Cu3 H1,Cu H,4
10430,Cu3Hg,Cu3 Hg1,Cu Hg,5
10431,Cu3Hg2,Cu3 Hg2,Cu Hg,5
10432,Cu3Hg4,Cu3 Hg4,Cu Hg,5
10433,Cu3Hg5,Cu3 Hg5,Cu Hg,5
10434,Cu3I,Cu3 I1,Cu I,4
10435,Cu3Ir,Cu3 Ir1,Cu Ir,5
10436,Cu3Ir2,Cu3 Ir2,Cu Ir,5
10437,Cu3Ir4,Cu3 Ir4,Cu Ir,5
10438,Cu3Ir5,Cu3 Ir5,Cu Ir,5
10439,Cu3Mo,Cu3 Mo1,Cu Mo,5
10440,Cu3Mo2,Cu3 Mo2,Cu Mo,5
10441,Cu3Mo4,Cu3 Mo4,Cu Mo,5
10442,Cu3Mo5,Cu3 Mo5,Cu Mo,5
10443,Cu3N,Cu3 N1,Cu N,4
10444,Cu3Ni,Cu3 Ni1,Cu Ni,5
10445,Cu3Ni2,Cu3 Ni2,Cu Ni,5
10446,Cu3Ni4,Cu3 Ni4,Cu Ni,5
10447,Cu3Ni5,Cu3 Ni5,Cu Ni,5
10448,Cu3O,Cu3 O1,Cu O,4
10449,Cu3O2,Cu3 O2,Cu O,4
10450,Cu3O4,Cu3 O4,Cu O,4
10451,Cu3Os,Cu3 Os1,Cu Os,5
10452,Cu3Os2,Cu3 Os2,Cu Os,5
10453,Cu3Os4,Cu3 Os4,Cu Os,5
10454,Cu3Os5,Cu3 Os5,Cu Os,5
10455,Cu3P,Cu3 P1,Cu P,4
10456,Cu3P2,Cu3 P2,Cu P,4
10457,Cu3P5,Cu3 P5,Cu P,4
10458,Cu3Pb,Cu3 Pb1,Cu Pb,5
10459,Cu3Pb2,Cu3 Pb2,Cu Pb,5
10460,Cu3Pb4,Cu3 Pb4,Cu Pb,5
10461,Cu3Pb5,Cu3 Pb5,Cu Pb,5
10462,Cu3Pd,Cu3 Pd1,Cu Pd,5
10463,Cu3Pd2,Cu3 Pd2,Cu Pd,5
10464,Cu3Pd4,Cu3 Pd4,Cu Pd,5
10465,Cu3Pd5,Cu3 Pd5,Cu Pd,5
10466,Cu3Pt,Cu3 Pt1,Cu Pt,5
10467,Cu3Pt2,Cu3 Pt2,Cu Pt,5
10468,Cu3Pt4,Cu3 Pt4,Cu Pt,5
10469,Cu3Pt5,Cu3 Pt5,Cu Pt,5
10470,Cu3Re,Cu3 Re1,Cu Re,5
10471,Cu3Re2,Cu3 Re2,Cu Re,5
10472,Cu3Re4,Cu3 Re4,Cu Re,5
10473,Cu3Re5,Cu3 Re5,Cu Re,5
10474,Cu3Rh,Cu3 Rh1,Cu Rh,5
10475,Cu3Rh2,Cu3 Rh2,Cu Rh,5
10476,Cu3Rh4,Cu3 Rh4,Cu Rh,5
10477,Cu3Rh5,Cu3 Rh5,Cu Rh,5
10478,Cu3Ru,Cu3 Ru1,Cu Ru,5
10479,Cu3Ru2,Cu3 Ru2,Cu Ru,5
10480,Cu3Ru4,Cu3 Ru4,Cu Ru,5
10481,Cu3Ru5,Cu3 Ru5,Cu Ru,5
10482,Cu3S,Cu3 S1,Cu S,4
10483,Cu3S2,Cu3 S2,Cu S,4
10484,Cu3S4,Cu3 S4,Cu S,4
10485,Cu3S5,Cu3 S5,Cu S,4
10486,Cu3Sb,Cu3 Sb1,Cu Sb,5
10487,Cu3Sb2,Cu3 Sb2,Cu Sb,5
10488,Cu3Sb5,Cu3 Sb5,Cu Sb,5
10489,Cu3Se,Cu3 Se1,Cu Se,5
10490,Cu3Se2,Cu3 Se2,Cu Se,5
10491,Cu3Se4,Cu3 Se4,Cu Se,5
10492,Cu3Se5,Cu3 Se5,Cu Se,5
10493,Cu3Si,Cu3 Si1,Cu Si,5
10494,Cu3Si2,Cu3 Si2,Cu Si,5
10495,Cu3Si4,Cu3 Si4,Cu Si,5
10496,Cu3Si5,Cu3 Si5,Cu Si,5
10497,Cu3Sn,Cu3 Sn1,Cu Sn,5
10498,Cu3Sn2,Cu3 Sn2,Cu Sn,5
10499,Cu3Sn4,Cu3 Sn4,Cu Sn,5
10500,Cu3Sn5,Cu3 Sn5,Cu Sn,5
10501,Cu3Te,Cu3 Te1,Cu Te,5
10502,Cu3Te2,Cu3 Te2,Cu Te,5
10503,Cu3Te4,Cu3 Te4,Cu Te,5
